epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15634,0,15.842,0,0,0,0,0,0,18.9128,0,3.334e-05,3.334e-05,3.334e-05
2,10.5992,0,15.7741,0,0,0,0,0,0,18.948,0,8.05995e-05,8.05995e-05,8.05995e-05
3,16.2932,0,15.6547,0,0,0,0,0,0,18.9983,0,0.000124558,0.000124558,0.000124558
4,21.7569,0,15.5701,0,0,0,0,0,0,19.0507,0,0.000165216,0.000165216,0.000165216
5,26.872,0,15.4879,0,0,0,0,0,0,19.0507,0,0.000202574,0.000202574,0.000202574
6,32.2353,0,15.4234,0,0,0,0,0,0,19.0888,0,0.000236631,0.000236631,0.000236631
7,37.3092,0,15.3333,0,0,0,0,0,0,19.0888,0,0.000267387,0.000267387,0.000267387
8,42.5762,0,15.3173,0,0,0,0,0,0,19.0888,0,0.000294842,0.000294842,0.000294842
9,48.0301,0,15.2088,0,0,0,0,0,0,19.0937,0,0.000318997,0.000318997,0.000318997
10,53.263,0,15.1397,0,0,0,0,0,0,19.0937,0,0.000339851,0.000339851,0.000339851
11,58.451,0,15.1305,0,0,0,0,0,0,19.0937,0,0.000357405,0.000357405,0.000357405
12,63.7901,0,15.1319,0,0,0,0,0,0,19.0937,0,0.000371658,0.000371658,0.000371658
13,69.0299,0,14.9719,0,0,0,0,0,0,19.0699,0,0.00038261,0.00038261,0.00038261
14,74.175,0,14.8917,0,0,0,0,0,0,19.0699,0,0.000390261,0.000390261,0.000390261
15,79.4279,0,14.8738,0,0,0,0,0,0,19.0699,0,0.000394612,0.000394612,0.000394612
16,84.7576,0,14.9025,0,0,0,0,0,0,19.0699,0,0.000395662,0.000395662,0.000395662
17,90.1246,0,14.9083,0,0,0,0,0,0,19.0699,0,0.000393412,0.000393412,0.000393412
18,95.3086,0,14.8829,0,0,0,0,0,0,19.061,0,0.000387861,0.000387861,0.000387861
19,100.523,0,14.5833,0,0,0,0,0,0,19.061,0,0.000379009,0.000379009,0.000379009
20,105.825,0,14.6346,0,0,0,0,0,0,19.061,0,0.000366857,0.000366857,0.000366857
21,111.458,0,14.5593,0,0,0,0,0,0,19.061,0,0.000351404,0.000351404,0.000351404
22,116.83,0,14.5908,0,0,0,0,0,0,19.061,0,0.00033265,0.00033265,0.00033265
23,122.163,0,14.571,0,0,0,0,0,0,19.061,0,0.000310595,0.000310595,0.000310595
24,127.924,0,14.6269,0,0,0,0,0,0,19.061,0,0.00028524,0.00028524,0.00028524
25,133.541,0,14.618,0,0,0,0,0,0,19.061,0,0.000256585,0.000256585,0.000256585
26,139.019,0,14.5804,0,0,0,0,0,0,19.061,0,0.000224628,0.000224628,0.000224628
27,144.429,0,14.4713,0,0,0,0,0,0,18.9233,0,0.000189371,0.000189371,0.000189371
28,150.309,0,14.4067,0,0,0,0,0,0,18.9233,0,0.000150813,0.000150813,0.000150813
29,155.964,0,14.4354,0,0,0,0,0,0,18.9233,0,0.000108955,0.000108955,0.000108955
30,161.602,0,14.4237,0,0,0,0,0,0,18.9233,0,6.37961e-05,6.37961e-05,6.37961e-05
