epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12562,0.57451,3.16729,1.05825,0.01331,1,0.20118,0.1254,0.32532,3.31179,0.8105,1.667e-05,1.667e-05,1.667e-05
2,16.0065,0.55801,3.28678,1.01861,0.01331,1,0.17399,0.14492,0.22187,3.2814,0.76725,4.90198e-05,4.90198e-05,4.90198e-05
3,24.5192,0.54242,3.27335,0.96136,0.01333,1,0.24389,0.2239,0.20138,3.27198,0.75731,8.00493e-05,8.00493e-05,8.00493e-05
4,33.8972,0.52576,2.95644,0.96731,0.01343,1,0.30763,0.28453,0.2238,3.25386,0.74678,0.000109759,0.000109759,0.000109759
5,43.5154,0.48677,2.76883,0.92967,0.01377,1,0.36055,0.3379,0.2692,3.21816,0.74254,0.000138148,0.000138148,0.000138148
6,52.5043,0.37837,2.48586,0.84096,0.01377,1,0.36055,0.3379,0.2692,3.21816,0.74254,0.000165216,0.000165216,0.000165216
7,60.926,0.44798,2.11107,0.84949,0.01481,1,0.44097,0.43981,0.28351,3.14861,0.73485,0.000190965,0.000190965,0.000190965
8,69.3424,0.52309,2.20325,0.90547,0.01563,1,0.45277,0.44466,0.2916,3.03597,0.73957,0.000215393,0.000215393,0.000215393
9,78.1798,0.50832,1.64273,0.90982,0.01563,1,0.45277,0.44466,0.2916,3.03597,0.73957,0.000238501,0.000238501,0.000238501
10,88.1103,0.42291,1.70005,0.83006,0.01616,1,0.49125,0.47162,0.31085,2.83897,0.7471,0.000260289,0.000260289,0.000260289
11,95.8024,0.60173,1.49594,1.07107,0.01616,1,0.49125,0.47162,0.31085,2.83897,0.7471,0.000280756,0.000280756,0.000280756
12,105.751,0.49517,1.3901,0.86175,0.58528,0.78778,0.79583,0.73598,0.37935,2.54688,0.77101,0.000299903,0.000299903,0.000299903
13,116.173,0.41403,1.01411,0.82837,0.58528,0.78778,0.79583,0.73598,0.37935,2.54688,0.77101,0.00031773,0.00031773,0.00031773
14,125.359,0.42471,0.97971,0.87162,0.58528,0.78778,0.79583,0.73598,0.37935,2.54688,0.77101,0.000334237,0.000334237,0.000334237
15,134.251,0.47919,0.99516,0.89208,0.93357,0.41667,0.96256,0.92594,0.33464,2.17808,0.74905,0.000349423,0.000349423,0.000349423
16,145.826,0.42226,0.82139,0.82186,0.93357,0.41667,0.96256,0.92594,0.33464,2.17808,0.74905,0.000363289,0.000363289,0.000363289
17,153.723,0.37842,0.90846,0.81831,0.93357,0.41667,0.96256,0.92594,0.33464,2.17808,0.74905,0.000375835,0.000375835,0.000375835
18,160.647,0.43181,0.82084,0.83405,0.94379,0.89424,0.96833,0.92497,0.36012,1.79365,0.73748,0.000387061,0.000387061,0.000387061
19,167.677,0.4586,0.95756,0.89117,0.94379,0.89424,0.96833,0.92497,0.36012,1.79365,0.73748,0.000396966,0.000396966,0.000396966
20,174.452,0.37208,0.78023,0.81742,0.94379,0.89424,0.96833,0.92497,0.36012,1.79365,0.73748,0.000405551,0.000405551,0.000405551
21,181.836,0.4216,0.98337,0.90772,0.99089,0.9251,0.995,0.93027,0.40573,1.55844,0.74049,0.000412816,0.000412816,0.000412816
22,192.014,0.48213,0.82605,0.84966,0.99089,0.9251,0.995,0.93027,0.40573,1.55844,0.74049,0.00041876,0.00041876,0.00041876
